FLIGHT_CARRIER_CODE;FLIGHT_NUMBER;AIRCRAFT_TYPE
AF ;0703;77W
AF ;0704;359
AF ;0705;359
AF ;0708;772
AF ;0709;772
AF ;0710;77W
AF ;0711;77W
AF ;0712;772
AF ;0713;772
AF ;0714;77W
AF ;0718;77W
AF ;0719;77W
AF ;0722;359
AF ;0736;359
AF ;0744;77W
AF ;0745;77W
AF ;0746;77W
AF ;0747;332
AF ;0750;77W
AF ;0751;77W
AF ;0754;359
AF ;0756;359
AF ;0758;77W
AF ;0762;77W
AF ;0763;77W
AF ;0768;332
AF ;0769;332
AF ;0770;77W
AF ;0771;77W
AF ;0775;332
AF ;0779;332
AF ;0780;332
AF ;0781;332
AF ;0782;77W
AF ;0788;77W
AF ;0789;77W
AF ;0790;77W
AF ;0792;77W
AF ;0795;77W
AF ;0797;77W
AF ;0804;332
AF ;0805;332
AF ;0807;332
AF ;0809;77W
AF ;0813;789
AF ;0814;789
AF ;0815;789
AF ;0816;77W
AF ;0817;772
AF ;0818;332
AF ;0820;332
AF ;0822;332
AF ;0825;772
AF ;0830;332
AF ;0834;332
AF ;0836;789
AF ;0837;332
AF ;0838;789
AF ;0841;77W
AF ;0842;77W
AF ;0844;332
AF ;0848;332
AF ;0852;772
AF ;0853;772
AF ;0857;789
AF ;0860;332
AF ;0861;332
AF ;0863;332
AF ;0864;789
AF ;0866;332
AF ;0871;789
AF ;0875;332
AF ;0876;789
AF ;0877;359
AF ;0878;332
AF ;0882;789
AF ;0889;772
AF ;0890;772
AF ;0891;789
AF ;0895;77W
AF ;0898;77W
AF ;0900;332
AF ;0901;332
AF ;0903;332
AF ;0907;332
AF ;0912;332
AF ;0914;332
AF ;0924;332
AF ;0925;332
AF ;0926;332
AF ;0927;772
AF ;0928;332
AF ;0929;332
AF ;0931;772
AF ;0932;772
AF ;0934;359
AF ;0935;359
AF ;0937;359
AF ;0941;332
AF ;0946;332
AF ;0947;332
AF ;0948;332
AF ;0950;77W
AF ;0952;772
AF ;0953;772
AF ;0954;332
AF ;0958;332
AF ;0959;77W
AF ;0961;332
AF ;0962;359
AF ;0963;359
AF ;0968;77W
AF ;0969;77W
AF ;0971;332
AF ;0972;332
AF ;0975;332
AF ;0977;332
AF ;0983;359
AF ;0984;359
AF ;0987;77W
AF ;0990;77W
AF ;0992;77W
AF ;0995;77W
AF ;0996;332
AF ;1000;223
AF ;1001;223
AF ;1002;319
AF ;1003;319
AF ;1004;320
AF ;1005;320
AF ;1006;E90
AF ;1007;E90
AF ;1008;E90
AF ;1009;E90
AF ;1010;E90
AF ;1011;E90
AF ;1012;223
AF ;1013;223
AF ;1014;E90
AF ;1015;E90
AF ;1016;223
AF ;1017;223
AF ;1018;E90
AF ;1019;E90
AF ;1020;E90
AF ;1021;E90
AF ;1022;223
AF ;1023;223
AF ;1024;223
AF ;1025;223
AF ;1026;E90
AF ;1027;E90
AF ;1028;223
AF ;1029;223
AF ;1030;E70
AF ;1031;E70
AF ;1032;321
AF ;1033;321
AF ;1034;319
AF ;1035;319
AF ;1036;E90
AF ;1037;E90
AF ;1038;73H
AF ;1039;73H
AF ;1040;320
AF ;1041;320
AF ;1042;223
AF ;1043;223
AF ;1044;320
AF ;1045;320
AF ;1046;223
AF ;1047;223
AF ;1048;321
AF ;1049;321
AF ;1050;223
AF ;1051;223
AF ;1052;32A
AF ;1053;32A
AF ;1056;E90
AF ;1057;E90
AF ;1058;E90
AF ;1059;E90
AF ;1060;32A
AF ;1061;32A
AF ;1062;320
AF ;1063;320
AF ;1064;E90
AF ;1065;E90
AF ;1066;319
AF ;1067;319
AF ;1068;223
AF ;1069;223
AF ;1070;223
AF ;1071;223
AF ;1072;320
AF ;1073;320
AF ;1074;320
AF ;1075;320
AF ;1076;320
AF ;1077;320
AF ;1078;E90
AF ;1079;E90
AF ;1082;320
AF ;1083;320
AF ;1084;320
AF ;1085;320
AF ;1088;319
AF ;1089;319
AF ;1090;E90
AF ;1091;E90
AF ;1092;E70
AF ;1093;E70
AF ;1094;E90
AF ;1095;E90
AF ;1096;320
AF ;1097;320
AF ;1098;320
AF ;1099;320
AF ;1100;321
AF ;1101;321
AF ;1102;E90
AF ;1103;E90
AF ;1104;223
AF ;1105;223
AF ;1106;E90
AF ;1107;E90
AF ;1108;32A
AF ;1109;32A
AF ;1110;E90
AF ;1111;E90
AF ;1112;319
AF ;1113;319
AF ;1114;223
AF ;1115;223
AF ;1116;223
AF ;1117;223
AF ;1118;E90
AF ;1119;E90
AF ;1122;223
AF ;1123;223
AF ;1124;320
AF ;1125;320
AF ;1126;223
AF ;1127;223
AF ;1130;223
AF ;1131;223
AF ;1134;223
AF ;1135;223
AF ;1138;223
AF ;1139;223
AF ;1140;223
AF ;1141;223
AF ;1142;223
AF ;1143;223
AF ;1146;223
AF ;1147;223
AF ;1148;223
AF ;1149;223
AF ;1150;223
AF ;1151;223
AF ;1152;E90
AF ;1153;E90
AF ;1154;319
AF ;1155;319
AF ;1158;E90
AF ;1159;E90
AF ;1160;E90
AF ;1161;E90
AF ;1162;320
AF ;1163;320
AF ;1164;223
AF ;1165;223
AF ;1166;E90
AF ;1167;E90
AF ;1168;320
AF ;1169;320
AF ;1174;320
AF ;1175;320
AF ;1176;223
AF ;1177;223
AF ;1178;320
AF ;1179;320
AF ;1180;223
AF ;1181;223
AF ;1182;E90
AF ;1183;E90
AF ;1184;320
AF ;1185;320
AF ;1186;E90
AF ;1187;E90
AF ;1190;E90
AF ;1191;E90
AF ;1192;E90
AF ;1193;E90
AF ;1194;223
AF ;1195;223
AF ;1196;320
AF ;1197;320
AF ;1200;E90
AF ;1201;E90
AF ;1202;E90
AF ;1203;E90
AF ;1204;321
AF ;1205;321
AF ;1206;320
AF ;1207;320
AF ;1210;E90
AF ;1211;E90
AF ;1212;223
AF ;1213;223
AF ;1216;319
AF ;1217;319
AF ;1218;E90
AF ;1219;E90
AF ;1220;319
AF ;1221;319
AF ;1224;320
AF ;1225;320
AF ;1226;321
AF ;1227;321
AF ;1228;223
AF ;1229;223
AF ;1230;223
AF ;1231;223
AF ;1232;320
AF ;1233;320
AF ;1234;223
AF ;1235;223
AF ;1236;E90
AF ;1237;E90
AF ;1238;320
AF ;1239;320
AF ;1240;321
AF ;1241;321
AF ;1242;223
AF ;1243;223
AF ;1246;223
AF ;1247;223
AF ;1248;223
AF ;1249;223
AF ;1252;223
AF ;1253;223
AF ;1254;319
AF ;1255;319
AF ;1258;320
AF ;1259;320
AF ;1260;320
AF ;1261;320
AF ;1262;320
AF ;1263;320
AF ;1264;E90
AF ;1265;E90
AF ;1266;319
AF ;1267;319
AF ;1268;223
AF ;1269;223
AF ;1270;320
AF ;1271;320
AF ;1274;320
AF ;1275;320
AF ;1276;320
AF ;1277;320
AF ;1278;320
AF ;1279;320
AF ;1280;223
AF ;1281;223
AF ;1282;E90
AF ;1283;E90
AF ;1284;320
AF ;1285;320
AF ;1286;E90
AF ;1287;E90
AF ;1288;E90
AF ;1289;E90
AF ;1290;E90
AF ;1291;E90
AF ;1292;E90
AF ;1293;E90
AF ;1294;73H
AF ;1295;73H
AF ;1296;320
AF ;1297;320
AF ;1298;320
AF ;1299;320
AF ;1300;321
AF ;1301;321
AF ;1304;223
AF ;1305;223
AF ;1306;E90
AF ;1307;E90
AF ;1308;223
AF ;1309;223
AF ;1310;E90
AF ;1311;E90
AF ;1312;223
AF ;1313;223
AF ;1314;E90
